Name;Birthday;Countries Active;Years Active;Proven Victims;Possible Victims;BirthYear;StartYear;Age At The Start of Killing;Notes;Type;Nickname;Reason;Archetype/Classification;Gender;Victim Age;Victim Gender;Targeted Group Type
Vickie Dawn Jackson;2/13/1966;United States;2000-2001;10;20;1966;2000;34;The North Texas hospital where Vickie Dawn Jackson worked as a nurse was plagued by a rash of respiratory deaths, the deaths were not considered suspicious - until administrators realized vials of mivacurium chloride, a powerful drug used to temporarily p;Hate Crime, Medical;Angel of Death;Power;Power/Control;Female;Child;Mixed;Elderly
Dale Hausner;02.04.1973;United States;2005-2006;8;8;1973;2005;32;Dale Hausner was part of the Serial Shooters of Phoenix, Arizona. The group was responsible for at least eight murders and 29 to 38 other drive-by shootings in 2005 and 2006. Dale Hausner and Samuel Dieteman were arrested in 2006 for the crimes, and are a;Unknown;The Serial Shooters;Power;Power/Control;Male;Adult;Male;None
William Devin Howell;02.11.1970;United States;2003;7;7;1970;2003;33;William Howell was convicted of murdering seven people in 2003. Howell cut off the tips of a victims fingers and dismantled the bottom jaw at least one of his victims. One of his victims was strangled to death after Howell realized the victim was transgen;Rapist, Strangler, Sexual Predator;Sick Ripper;Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
Emile Louis;1/21/1934;France;1975-1978;7;7;1934;1975;41;Emile Louis was a bus driver that preyed on young handicapped women (seven murders) in the 1970s. Louis confessed to the murders, later retracting his confession. Louis was sentenced to life in prison on November 25th 2004.;Unknown;le boucher de l'Yonne;Femicide;Power and Hedonistic;Male;Adult;Female;None
Friedrich Schumann;2/1/1893;Germany;1918-1919;6;6;1893;1918;25;Friedrich Schumann murdered at least six victims in Germany between 1918 and 1919. Schumann would target couples hiking in the Falkenhagener forest near the lake. He would rob and shoot his victims, raping the female victims. Schumann had numerous other c;Rapist, Sexual Predator;Massenm??¶rder vom Falkenhagener (The Mass Murderer of Falkenhagen Lake);Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Gary Ray Bowles;1/25/1962;United States;1994;6;6;1962;1994;32;"Gary Ray Bowles beat and strangled six men to death to steal their credit cards in 1994. Bowles became a suspect after police found his fingerprints and probation records at a crime scene. Bowles murdered five other men in Nassau County, Florida; Jacksonv";Strangler;;Power;Power/Control;Male;Adult;Male;None
Eugen Weidmann;02.05.1908;France;1937;6;6;1908;1937;29;Eugen Weidmann used the alias M. Karrer. He strangled and robbed American dancer Jean de Koven, shot a former accomplice, and shot four other people around Paris in 1937. Weidmann confessed to the murders and was sentenced to death. At the time of his cri;Strangler;M. Karrer;Power;Power/Control;Male;Adult;Male;None
James Miller;02.02.1940;Australia;1976-1977;6;7;1940;1976;36;James Miller, along with his partner Christopher Robin Worrell, are known to have committed the Truro murders. The Truro murders are a series of murders of young women in bushland east of the town of Truro in South Australia. Miller argued that he never e;Unknown;Truro murders;Femicide;Power and Hedonistic;Male;Adult;Female;None
Alferd Packer;1/21/1842;United States;1873-1874;5;5;1842;1873;31;Alferd Packer was an American prospector and self-proclaimed professional wilderness guide who confessed to cannibalism during the winter of 1874. He and five other men attempted to travel through the San Juan Mountains of Colorado during the peak of a ha;Cannibal;The Colorado Cannibal;Cannibalism;Hedonistic;Male;Adult;Male;None
Roy Lewis Norris;02.02.1948;United States;1979;5;5;1948;1979;31;Roy Lewis Norris and Lawrence Bittaker are American serial killers and rapists known as the Tool Box Killers, who together committed the kidnap, rape torture and murder of five teenage girls over a period of five months in southern California in 1979. Bit;Financial Motive, Rapist, Torturer, Stalker, Strangler, Sexual Predator;One of the Tool Box Killers;Financial Gain, Sexual Assault;Hedonistic;Female;Adult;Female;None
Romulus Veres;1/23/1929;Romania;1970;5;5;1929;1970;41;Romulus Veres would kill his victims with a hammer or by stabbing them with a knife. One victim was pregnant and found in a pool of blood, the neighbors thought she had given birth. Discovering that the woman had been hit in the head, she was rushed to th;Rapist, Stalker, Sexual Predator;The Hammer Man, The Man with the Hammer;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Allan Joseph Legere;2/13/1948;Canada;1989;5;7;1948;1989;41;Allan Joseph Legere was convicted of killing five people in the Miramichi area, New Brunswick. Legere is now serving a life sentence Canada's only super maximum prison (Special Handling Unit).;Unknown;Monster of the Miramichi;Power;Power/Control;Male;Adult;Mixed;None
Howell Donaldson;1/26/1993;United States;2017;4;4;1993;2017;24;Howell Donaldson is believed to have murdered four people in the Seminole Heights neighborhood of Tampa in 2017. All four victims were shot dead seemingly at random.;Unknown;Seminole Heights serial killer, Tampa Bay Serial Killer;Power;Power/Control;Male;Adult;Mixed;None
James Hall;1/28/1921;United States;1944-1945;4;24;1921;1944;23;James Hall was convicted of killing his 19-year-old wife and three other men around Little Rock, Arkansas between 1944 and 1945. Was sentenced to death in May 1945 and executed on January 4, 1946. Appeared in a comic book article in: Crime does not pay, v;Unknown;Big Jim, Arkansas Butcher;Power;Power/Control;Male;Adult;Male;None
Peter Lundin;2/15/1972;Denmark;1991-2000;4;4;1972;1991;19;Peter Lundin killed his own mother in 1991, then killed his mistress and her two children nine years later. In 2001, Peter Lundin was sentenced to life imprisonment.;Strangler;Bjarne Skounborg, Thomas Kristian Olesen;Power;Power/Control;Male;Child;Male;None
Cody Legebokoff;1/21/1990;Canada;2009-2010;4;4;1990;2009;19;Cody Legebokoff murdered three women and a teenage girl between 2009 and 2010 in British Columbia, Canada. One victim was included as a suspected victim in the Highway of Tears murders. He used the handle 1CountryBoy on a Canadian social-networking site n;Rapist, Sexual Predator;The Country Boy Killer;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Colin Norris;02.12.1976;United Kingdom;2001-2002;4;4;1976;2001;25;Colin Norris is a former nurse from the Milton area of Glasgow, Scotland who was convicted of murdering four elderly patients in a hospital in Leeds, England, in 2002. He was sentenced in 2008 to serve a minimum of 30 years in prison. Doubts have since be;Hate Crime, Medical;;Power;Power/Control;Male;Adult;Mixed;Elderly
Jerome Jerry Brudos;1/31/1939;United States ;1968-1969;4;4;1939;1968;29;Jerome Jerry Brudos was as electronics technician who bludgeoned and strangled four young women while dressed up in women's clothing. Brudos charged with three counts of first degree murder for the murders of Jan Whitney, Linda Salee, and Karen Sprinker. ;Rapist, Necrophiliac, Strangler, Stalker, Sexual Predator;The Lust Killer, The Shoe Fetish Slayer;Sexual Assault;Hedonistic - Lust;Male;Child;Female;None
Marc Sappington;02.09.1978;United States;2001;4;4;1978;2001;23;Marc Sappington was a schizophrenic serial killer who heard voices telling him to kill after extended daily PCP use. He was convicted of murdering four acquaintances in March and April 2001 in Kansas City, Kansas. He gained notoriety for eating part of th;Cannibal, Financial Motive;;Financial Gain, Cannibalism;Hedonistic;Male;Adult;Mixed;None
Gordon Cummins;2/18/1914;United Kingdom;1942;4;6;1914;1942;28;Gordon Cummins's murders took place over a six-day period in February 1942, during the Blackout in the Second World War. Cummins raped three of his victims and robbed the remaining victim. He also attacked two other women. He left behind his gas mask cont;Rapist, Strangler, Sexual Predator;The Blackout Ripper, The Blackout Killer;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Diane Odell;02.07.1953;United States;1982-1985;3;4;1953;1982;29;Diane Odell was convicted of murdering three of her twelve children. In 2003 the bodies of the three dead newborns were found in a storage shed Odell rented and abandoned in Arizona. The three infants were born between 1981 and 1984, when she was living i;Unknown;Babies in Boxes Murder Case;Power;Power/Control;Male;Child;Mixed;None
Erwin Hagedorn;1/30/1952;Germany;1969-1971;3;3;1952;1969;17;Erwin Hagedorn killed three boys ages 9 to 12 in a forest in Eberswalde, Germany. In 1969, Hagedorn killed two nine-year-old boys. In 1971, Hagedorn stabbed an eleven-year-old boy, dismembered him, and tried to hide the body. He was arrested on November 1;Rapist, Stalker, Sexual Predator;Hans Erwin Hagedorn;Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
Lam Kwok-wai;1/27/1971;Hong Kong;1993;3;3;1971;1993;22;"Lam Kwok-wai was convicted of ten rapes and three murders that he committed with his bare hands, referring to his right hand as his ""fork"". Lam Kwok-wai is one of two only known serial killers in Hong Kong, the other is Lam Kor-wan.";Rapist, Sexual Predator;The Tuen Mun Rapist;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Stephen Morin;2/19/1951;United States;1981;3;30;1951;1981;30;Stephen Morin killed three women victims. His last victim, Margaret Palm, rode around with him in a car for 10 hours before taking him to a bus station and buying him a ticket to Austin. He let her go, boarded the bus and surrendered himself to authoritie;Unknown;;Femicide;Power and Hedonistic;Male;Adult;Female;None
Michael Gargiulo;02.12.1960;United States;1993-2008;3;6;1960;1993;33;Michael Gargiulo alleged killing sprees spanned from 1993-2000 in Chicago and 2001-2008 in Santa Monica, CA and Los Angeles, CA. Gargiulo was made notable for allegedly killing Ashton Kutcher's former girlfriend Ashley Ellerin in 2001. Gargiulo is accused;Unknown;Chiller Killer, Hollywood Ripper;Femicide;Power and Hedonistic;Female;Adult;Female;None
Sergei Martynov;06.02.1962;Russia;1992-2010;9;9;1962;1992;30;Martynov often mutilated his female victims by removing their breasts and genitalia. In 1984, Martynov was serving in the army and charged for desertion. In 1989, Martynov was released on parole. In 1991, Martynov raped and killed a minor girl and hid her;Rapist, Strangler, Pedophile, Sexual Predator;Raschlenytel, the Torso killer;Sexual Assault;Hedonistic - Lust;Male;Child;Female;None
Andrew Urdiales;06.04.1964;United States;1986-1996;8;8;1964;1986;22;Urdiales abducted, raped and shot his victims, before dumping the bodies. Some of his murders were committed while he was enlisted in the Marines. He was arrested in connection with a series of murders in 1997. While police ran ballistic tests on his gun,;Rapist, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Roger Kibbe;5/21/1939;United States;1977-1987;7;38;1939;1977;38;Kibbe killed seven women between 1977 and 1987. Six along I-5 near Sacramento, and one in Walnut Creek, California. Kibbe kidnapped his victims, bound, duct taped the mouths and cut open their clothes in irregular shapes with scissors that had belonged to;Rapist, Strangler, Sexual Predator;The I-5 Strangler;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Ramon Escobar;06.05.1971;United States;2018;6;7;1971;2018;47;Ramon Escobar (Ramon Alberto Escobar) an El Salvador-native and suspected American serial killer known as the Homeless serial killer. Escobar is accused of a series of homeless beatings resulting in four deaths. Several of the attacks were carried out wit;Unknown;Homeless serial killer;Power;Power/Control;Male;Adult;Male;None
Thomas Neill Cream;5/27/1850;United States, United Kingdom;1881-1892;5;8;1850;1881;31;Thomas Neill Cream was a Scottish-Canadian serial killer known as the The Lambeth Poisoner. Cream poisoned one man and several women with chloroform and strychnine, attempting to frame and then blackmail other men for the murders in some cases. Thomas Nei;Stalker;The Lambeth Poisoner;Femicide;Power and Hedonistic;Female;Adult;Female;None
William MacDonald;6/17/1924;Austrailia;1961-1962;5;5;1924;1961;37;MacDonald claims he was raped in an air-raid shelter by one of his corporals while enlisted in the Army. He was charged with indecent assault when he touched a detective on the penis in a public toilet in Adelaide, the capital of South Australia. MacDonal;Sexual Predator, Strangler;The Sydney Mutilator;Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
Edward Edwards;6/14/1933;United States;1977-1996;5;5;1933;1977;44;Edward Edwards (Edward Wayne Edwards) (born Charles Wayne Murray) an American serial killer known for committing the Sweetheart Murders. In 1955, Edwards escaped from a jail in Akron, Ohio. He robbed gas stations around the country and was on the FBI's Te;Rapist, Strangler, Sexual Predator;Sweetheart Murderer;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Dale Cregan;06.06.1983;United Kingdom;2012;4;4;1983;2012;29;Dale Cregan (Dale Christopher Cregan) Cregan was sentenced to a whole life order in prison for four counts of homicide involving the use of firearms??including killing two police officers??and three separate counts of attempted murder.;Unknown;;Power;Power/Control;Female;Adult;Mixed;None
